order_id,customer_id,product_id,product_category_name_english,price,freight_value,total_value,customer_state,customer_city,review_score,order_purchase_timestamp,year,month,year_month,weekday,hour
6212219326faa53d27b3f4c41e98b997,01fa00e0304cfe9ec92334b323841744,777d2e438a1b645f3aec9bd57e92672c,bed_bath_table,69.9,14.63,84.53,MG,barbacena,3.0,2017-10-18 21:54:17,2017,10,2017-10,Wednesday,21
b8ef769a959add8d51bf27fad025d316,5037d4e6fc10e6a32707edff10d657bd,0e5955fbbb16c3f92127ac470386ea88,computers_accessories,47.0,13.37,60.37,MG,pocos de caldas,5.0,2018-01-10 14:39:35,2018,1,2018-01,Wednesday,14
fb1bc334ae23045c45df799504ebe1bc,c7d1e6445617720dd981429fb5580238,63d6e7ab30f482382c9dfbbccae7da54,small_appliances,74.9,15.28,90.18,RS,porto alegre,5.0,2017-10-19 14:13:04,2017,10,2017-10,Thursday,14
fb892328bc44b33ea7c52b5aad09416e,baf13475dde3287ce4b015d7229a534e,21191f1db2fabc46b8ae34857a3b130a,sports_leisure,121.0,12.35,133.35,SP,sao paulo,5.0,2017-05-20 17:46:21,2017,5,2017-05,Saturday,17
3b97562c3aee8bdedcb5c2e45a50d5e1,065d53860347d845788e041c0dae53e7,8c591ab0ca519558779df02023177f44,garden_tools,89.99,44.73,134.72,MT,cuiaba,3.0,2017-04-14 22:21:54,2017,4,2017-04,Friday,22
b580df301116ea504e6a5c6fd555e871,b39aa773f89d81c6f9457003326d441c,c560413e458f53c059e83a25d2c2338c,bed_bath_table,99.9,14.06,113.96000000000001,SP,sao paulo,5.0,2018-06-05 12:56:47,2018,6,2018-06,Tuesday,12
c12bef4c2199585f7a1f2c92fdac3827,4536ccaeb1bc6078a3063b63c9e2905e,d03bd02af9fff4b98f1c972315e5e9ef,furniture_decor,69.9,18.29,88.19,SP,sao paulo,5.0,2018-08-06 17:46:34,2018,8,2018-08,Monday,17
3288845a804de0e644d882a3b5f95bd8,aeeac6d2ad88b9a1c516327ffcf28da4,00878d953636afec00d3e85d55a12e7f,health_beauty,100.0,26.78,126.78,MG,ubaporanga,5.0,2018-05-07 14:01:00,2018,5,2018-05,Monday,14
e43005ad5dc9d4727ad0f093ad35283b,ebe59b02da2c81ff94071eee41985e9d,4cd6ba4ea3112de8fc238307c4dc6307,bed_bath_table,39.0,16.67,55.67,RJ,rio de janeiro,5.0,2018-03-21 13:16:52,2018,3,2018-03,Wednesday,13
9c38f00a080665ace303d703e03718cb,65ab89d0154ae1f5ed267cccf02c299b,dfec64aac9b864b2807a7be33222b75f,bed_bath_table,84.9,9.41,94.31,SP,sao paulo,1.0,2018-01-21 15:39:38,2018,1,2018-01,Sunday,15
036322082c079184f5bc9e0b338e1f1d,20200721e6df99558d4ab4bd85979be3,ea02a373dc65fa3648ef3bac7fb86e9c,bed_bath_table,36.9,19.32,56.22,PR,rolandia,4.0,2018-04-12 21:44:53,2018,4,2018-04,Thursday,21
985984497affc6051f16a8e96e3e5610,35ecb9f2f7aa6d35a5a12e17d73c55df,39e496dace43a41056e2a487d41c8629,office_furniture,139.99,56.26,196.25,MG,belo horizonte,5.0,2017-12-25 18:16:54,2017,12,2017-12,Monday,18
b025ae09d0783f8194ec38b10c65acbd,0634a391a7b3989dda9196f26e6b2242,4fce0eab61e01d521044c8b071cdfead,sports_leisure,23.8,12.48,36.28,MG,abre campo,3.0,2017-09-01 10:50:42,2017,9,2017-09,Friday,10
dc9a03dbf9afa19253012ac1391cc00f,2675b80d5228e7a25bacab60bbad136b,06c6e01186af8b98ee1fc9e01f9471e9,computers_accessories,39.9,14.1,54.0,SP,campinas,5.0,2017-06-11 12:13:18,2017,6,2017-06,Sunday,12
ccb984d3f0888287bc92e0b18bb9527a,853578575eb2c89677c4d76bde945b5b,2eb2543712366c95191841792a725a23,housewares,49.9,18.45,68.35,PR,guarapuava,5.0,2018-06-29 12:21:05,2018,6,2018-06,Friday,12
fa1ad0a29c6a88101f0eb2e1504eb9ba,ee999a46c24288f09a34987a6886ca1e,729834518009d0ecf002340e2b9e34df,cool_stuff,99.9,16.46,116.36000000000001,SP,taubate,5.0,2017-09-18 13:48:16,2017,9,2017-09,Monday,13
